Card,Tipo,Cidade,Bairro,Dormitorios,Suites,Banheiros,Vagas,Area_construida,Valor
https://www.lindalvoimoveis.com.br/imovel/casa-de-250-m-na-rua-antonio-simao-numa-cassino-rio-grande-rs-a-venda-por-400000/CA0092-LINL?from=sale,Casa,Rio Grande,Cassino,2,0,2,3,250.0,400000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-300-m-na-rua-do-quartel-cassino-rio-grande-rs-a-venda-por-180000/CA0190-LINL?from=sale,Casa,Rio Grande,Cassino,3,0,2,6,300.0,180000.0
https://www.lindalvoimoveis.com.br/imovel/casa-com-3-dormitorios-a-venda-180-m-por-320000-vila-sao-miguel-rio-grande-rs/CA0682-LINL?from=sale,Casa,Rio Grande,Vila São Miguel,3,0,2,1,180.0,320000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-180-m-na-rua-ana-pernigotti-bolaxa-rio-grande-rs-a-venda-por-403000/CA0251-LINL?from=sale,Casa,Rio Grande,Bolaxa,3,0,2,3,180.0,403000.0
https://www.lindalvoimoveis.com.br/imovel/apartamento-de-75-m-na-avenida-atlantica-cassino-rio-grande-rs-a-venda-por-290000/AP0005-LINL?from=sale,Apartamento,Rio Grande,Cassino,2,0,2,1,75.0,290000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-126-m-na-avenida-primeiro-de-maio-vila-hidraulica-rio-grande-rs-a-venda-por-290000/CA0326-LINL?from=sale,Casa,Rio Grande,Vila Hidráulica,2,0,1,2,126.0,290000.0
https://www.lindalvoimoveis.com.br/imovel/apartamento-de-75-m-na-rua-n-cassino-rio-grande-rs-a-venda-por-271000/AP0014-LINL?from=sale,Apartamento,Rio Grande,Cassino,2,0,1,1,75.0,271000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-de-120-m-na-rua-capitao-lemos-farias-lar-gaucho-rio-grande-rs-a-venda-por-250000/SO0162-LINL?from=sale,Sobrado,Rio Grande,Lar Gaúcho,2,0,2,1,120.0,250000.0
https://www.lindalvoimoveis.com.br/imovel/apartamento-de-68-m-na-avenida-italia-vila-maria-jose-rio-grande-rs-a-venda-por-165000/AP0094-LINL?from=sale,Apartamento,Rio Grande,Vila Maria José,2,0,1,1,68.0,165000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-57-m-na-rua-tia-laura-barroni-canuso-cassino-rio-grande-rs-a-venda-por-212000/CA0986-LINL?from=sale,Casa,Rio Grande,Cassino,2,0,1,2,57.0,212000.0
https://www.lindalvoimoveis.com.br/imovel/so-avista-135-mil-casa-recem-reformada-com-garagem/CA0875-LINL?from=sale,Casa,Rio Grande,Vila Braz,2,0,1,2,65.0,135000.0
https://www.lindalvoimoveis.com.br/imovel/apartamento-com-2-dormitorios-65-m-venda-por-360000-ou-aluguel-por-900-ano-cassino-rio-grande-rs/AP0051-LINL?from=sale,Apartamento,Rio Grande,Cassino,2,0,1,1,65.0,360000.0
